timestamp,message
1705693765478,"START RequestId: 346ffca1-48cb-4901-9ac3-107baa032b59 Version: $LATEST
"
1705693765479,"b'{""app"":""myapp"",""arn"":""arn:aws:iam::667740703053:policy/myapp-development-s3-policy20240119194422142000000001"",""arns"":[""arn:aws:s3:::myapp-development-backends320240119194337029000000001"",""arn:aws:s3:::myapp-development-frontends3f20240119194830587800000001""],""env"":""development"",""local"":""myapp-development-s3-policy"",""name"":""myapp-development-s3-policy"",""res"":""s3-policy"",""type"":""policy s3""}'
"
1705693765479,"END RequestId: 346ffca1-48cb-4901-9ac3-107baa032b59
"
1705693765479,"REPORT RequestId: 346ffca1-48cb-4901-9ac3-107baa032b59	Duration: 1.18 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
1705693791141,"START RequestId: edbe6e9e-8f34-4907-8c66-60d3b0f8d337 Version: $LATEST
"
1705693791142,"b'{""app"":""myapp"",""arn"":""arn:aws:iam::667740703053:policy/myapp-development-sqs-policy20240119194455036600000001"",""arns"":[""arn:aws:sqs:ca-central-1:667740703053:myapp-development-backendsqs20240119194340288600000002"",""arn:aws:sqs:ca-central-1:667740703053:myapp-development-frontendsqsf20240119194832690500000002""],""env"":""development"",""local"":""myapp-development-sqs-policy"",""name"":""myapp-development-sqs-policy"",""res"":""sqs-policy"",""type"":""policy sqs""}'
"
1705693791142,"END RequestId: edbe6e9e-8f34-4907-8c66-60d3b0f8d337
"
1705693791142,"REPORT RequestId: edbe6e9e-8f34-4907-8c66-60d3b0f8d337	Duration: 1.14 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
1705693836996,"START RequestId: 44bbb946-01dd-4679-b85b-6a57c9802de8 Version: $LATEST
"
1705693836997,"b'{""app"":""myapp"",""arn"":""arn:aws:iam::667740703053:role/myapp-development-backend"",""env"":""development"",""local"":""myapp-development-backend"",""name"":""myapp-development-modules.backend"",""policies"":[""arn:aws:iam::667740703053:policy/myapp-development-s3-policy20240119194422142000000001"",""arn:aws:iam::667740703053:policy/myapp-development-sqs-policy20240119194455036600000001""],""res"":""modules.backend"",""type"":""role""}'
"
1705693836998,"END RequestId: 44bbb946-01dd-4679-b85b-6a57c9802de8
"
1705693836998,"REPORT RequestId: 44bbb946-01dd-4679-b85b-6a57c9802de8	Duration: 1.12 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
1705693837207,"START RequestId: 8c63110a-9827-4907-8875-40f9abb86f87 Version: $LATEST
"
1705693837208,"b'{""app"":""myapp"",""arn"":""arn:aws:iam::667740703053:role/myapp-development-frontend"",""env"":""development"",""local"":""myapp-development-frontend"",""name"":""myapp-development-modules.frontend"",""policies"":[""arn:aws:iam::667740703053:policy/myapp-development-s3-policy20240119194422142000000001"",""arn:aws:iam::667740703053:policy/myapp-development-sqs-policy20240119194455036600000001""],""res"":""modules.frontend"",""type"":""role""}'
"
1705693837208,"END RequestId: 8c63110a-9827-4907-8875-40f9abb86f87
"
1705693837208,"REPORT RequestId: 8c63110a-9827-4907-8875-40f9abb86f87	Duration: 1.12 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
